;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 06/24/2016 10:55:22 Þ.Ù
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xC012    	RJMP       19
0x0002	0xC019    	RJMP       27
0x0004	0xCFFD    	RJMP       0
0x0006	0xCFFC    	RJMP       0
0x0008	0xCFFB    	RJMP       0
0x000A	0xCFFA    	RJMP       0
0x000C	0xCFF9    	RJMP       0
0x000E	0xCFF8    	RJMP       0
0x0010	0xCFF7    	RJMP       0
0x0012	0xC00C    	RJMP       22
0x0014	0xCFF5    	RJMP       0
0x0016	0xCFF4    	RJMP       0
0x0018	0xCFF3    	RJMP       0
0x001A	0xCFF2    	RJMP       0
0x001C	0xCFF1    	RJMP       0
0x001E	0xCFF0    	RJMP       0
0x0020	0xCFEF    	RJMP       0
0x0022	0xCFEE    	RJMP       0
0x0024	0xCFED    	RJMP       0
0x0026	0xE0E6    	LDI        R30, 6
0x0028	0xE0FB    	LDI        R31, 11
0x002A	0x9409    	IJMP
0x002C	0x93EF    	PUSH       R30
0x002E	0x93FF    	PUSH       R31
0x0030	0xECEB    	LDI        R30, 203
0x0032	0xE0FB    	LDI        R31, 11
0x0034	0x9409    	IJMP
0x0036	0x93EF    	PUSH       R30
0x0038	0x93FF    	PUSH       R31
0x003A	0xEDE9    	LDI        R30, 217
0x003C	0xE0FB    	LDI        R31, 11
0x003E	0x9409    	IJMP
_main:
0x160C	0xE5BF    	LDI        R27, 95
0x160E	0xBFBD    	OUT        SPL+0, R27
0x1610	0xE0B4    	LDI        R27, 4
0x1612	0xBFBE    	OUT        SPL+1, R27
0x1614	0xB7CD    	IN         R28, SPL+0
0x1616	0xB7DE    	IN         R29, SPL+1
0x1618	0x972E    	SBIW       R28, 14
0x161A	0xBFCD    	OUT        SPL+0, R28
0x161C	0xBFDE    	OUT        SPL+1, R29
0x161E	0x9621    	ADIW       R28, 1
;MyProject.mbas,857 :: 		main:
;MyProject.mbas,858 :: 		Lcd_Init()
0x1620	0x922F    	PUSH       R2
0x1622	0x923F    	PUSH       R3
0x1624	0x924F    	PUSH       R4
0x1626	0x925F    	PUSH       R5
0x1628	0xD9C7    	RCALL      _Lcd_Init+0
